
DialogueRewriting, -1, Booming Reformulation, [Story Talent] Unlock the ability to Rewrite Story dialogue.

StabilizeFateCore, 0, Stabilize Fate Core, Stabilize Fate Core (first talent ever).
FateCoreCheaperRewrites, 0, ,
FocusAbilityGeneratesPulses, 0, ,

UnlockExpertGoals, 0, Expertise, Enable Expert Goal for mission.
IncreasedExpertGoalTimer, 0, Expedience, Expert Goal time limit +5s per level.
IncreasedExpertGoalReward, 0, ,

UnlockSkillRewriting, 1, Vibrant Reverie, Unlock Rewriting Character Skill.
CreditArmor1-Sub2, 1, , 

DissolveItems, 0, Dissolve Items, Enable Dissolve Items (sell item on the fly).

ShipHealth1, 0, Subatomic Fortification, Increase Health by 200 per level.
ShipHealthRegen1, 0, Invigoration, Increase Health Regen by 4 per level.

LootFilter, 0, Discernment Aura, Enable Loot Filter.

FateCap1, 0, Fate Pulse Specialization, +2 Fate Pulse cap per level.

MoreRealityPointsFromLevel1, 0, Galactic Attunement, Base Fate Point = Character Level / 4.

UnlockDifficultyLevels, 0, Omen, Unlock Omen (global difficulty).

EnemyHealthMultiplier1, 0, Foe Undermine, Enemy Health -5% per level.
EnemyShieldMultiplier, 0, Compromising Field, Enemy Shield -6% per level.
